source,target,value,step_from,step_to,gse_ids,layer
Adjuvant,Adjuvant,5,0,1,GSE120661;GSE120661;GSE120661;GSE180384;GSE189000,pathogen_type to target_pathogen
Adjuvant,None,1,0,1,GSE112920,pathogen_type to target_pathogen
Bacteria,A. baumannii,1,0,1,GSE141729,pathogen_type to target_pathogen
Bacteria,Bovine crucellosis,1,0,1,GSE125765,pathogen_type to target_pathogen
Bacteria,Brucella,2,0,1,GSE121040;GSE254248,pathogen_type to target_pathogen
Bacteria,C. tetani,1,0,1,GSE268421,pathogen_type to target_pathogen
Bacteria,DTP,1,0,1,GSE144218,pathogen_type to target_pathogen
Bacteria,DTP-IPV-HBV,1,0,1,GSE120661,pathogen_type to target_pathogen
Bacteria,F. tularensis,1,0,1,GSE186408,pathogen_type to target_pathogen
Bacteria,H. influenzae,1,0,1,GSE120661,pathogen_type to target_pathogen
Bacteria,Klebsiella,5,0,1,GSE157382;GSE157382;GSE174849;GSE178385;GSE178385,pathogen_type to target_pathogen
Bacteria,Listeria,1,0,1,GSE112741,pathogen_type to target_pathogen
Bacteria,M. tuberculosis,1,0,1,GSE226075,pathogen_type to target_pathogen
Bacteria,N. meningitidis,9,0,1,GSE104337;GSE104337;GSE131914;GSE132199;GSE132199;GSE139529;GSE139529;GSE224584;GSE224584,pathogen_type to target_pathogen
Bacteria,S. aureus,12,0,1,GSE193543;GSE193543;GSE193543;GSE193543;GSE193543;GSE193543;GSE193543;GSE193543;GSE193543;GSE193543;GSE193543;GSE193543,pathogen_type to target_pathogen
Bacteria,S. pneumoniae,1,0,1,GSE173361,pathogen_type to target_pathogen
Bacteria,Tuberculosis,19,0,1,GSE100288;GSE100288;GSE135592;GSE135592;GSE135592;GSE139948;GSE139948;GSE164590;GSE212202;GSE212203;GSE212204;GSE213340;GSE213342;GSE244126;GSE261448;GSE261448;GSE264141;GSE264141;GSE264141,pathogen_type to target_pathogen
Fungi,B. dermatitidis,2,0,1,GSE198466;GSE198466,pathogen_type to target_pathogen
Fungi,C. neoformans,1,0,1,GSE271485,pathogen_type to target_pathogen
Fungi,C. posadasii,1,0,1,GSE133140,pathogen_type to target_pathogen
Protozoa,Leishmania,2,0,1,GSE134661;GSE134661,pathogen_type to target_pathogen
Protozoa,Plasmodium,3,0,1,GSE188659;GSE111110;GSE129133,pathogen_type to target_pathogen
Protozoa,Schistosome,3,0,1,GSE164094;GSE164094;GSE222444,pathogen_type to target_pathogen
Virus,Ad26,3,0,1,GSE264344;GSE264344;GSE264344,pathogen_type to target_pathogen
Virus,Andes virus,2,0,1,GSE240062;GSE240062,pathogen_type to target_pathogen
Virus,ChAd,1,0,1,GSE207389,pathogen_type to target_pathogen
Virus,Dengue virus,2,0,1,GSE154371;GSE154371,pathogen_type to target_pathogen
Virus,HBV,1,0,1,GSE120661,pathogen_type to target_pathogen
Virus,HIV,9,0,1,GSE198952;GSE288450;GSE288450;GSE288450;GSE288450;GSE165227;GSE165227;GSE165227;GSE165227,pathogen_type to target_pathogen
Virus,Influenza,29,0,1,GSE101696;GSE101747;GSE120661;GSE120661;GSE134647;GSE134647;GSE134647;GSE134647;GSE160010;GSE182858;GSE182858;GSE182858;GSE182858;GSE195600;GSE195600;GSE195600;GSE198980;GSE198980;GSE198980;GSE198980;GSE205839;GSE205839;GSE205839;GSE205839;GSE205839;GSE205839;GSE279743;GSE279744;GSE289606,pathogen_type to target_pathogen
Virus,LCMV,3,0,1,GSE107116;GSE160294;GSE161356,pathogen_type to target_pathogen
Virus,MVA,1,0,1,GSE207389,pathogen_type to target_pathogen
Virus,Norovirus,2,0,1,GSE279372;GSE279372,pathogen_type to target_pathogen
Virus,RSV,3,0,1,GSE143617;GSE143617;GSE272499,pathogen_type to target_pathogen
Virus,Rabies,1,0,1,GSE122637,pathogen_type to target_pathogen
